year,week_number,count
2007,36,9059
2007,37,8415
2007,38,9084
2007,39,8993
2007,40,9085
2007,41,8705
2007,42,9127
2007,43,8586
2007,44,9234
2007,45,8203
2007,46,8271
2007,47,7194
2007,48,7660
2007,49,6856
2007,50,7456
2007,51,7589
2007,52,6697
2008,1,10068
2008,2,8311
2008,3,7510
2008,4,6708
2008,5,6745
2008,6,6837
2008,7,6912
2008,8,7051
2008,9,7593
2008,10,7404
2008,11,8055
2008,12,7081
2008,13,7985
2008,14,8378
2008,15,7710
2008,16,8703
2008,17,8523
2008,18,8206
2008,19,8601
2008,20,8538
2008,21,8735
2008,22,8817
2008,23,8835
2008,24,9068
2008,25,8478
2008,26,8640
2008,27,8727
2008,28,9128
2008,29,9190
2008,30,9366
2008,31,9404
2008,32,8990
2008,33,9226
2008,34,9348
2008,35,8890
2008,36,8743
2008,37,8418
2008,38,9038
2008,39,8915
2008,40,8218
2008,41,8867
2008,42,8734
2008,43,8278
2008,44,8809
2008,45,7859
2008,46,7841
2008,47,7645
2008,48,7518
2008,49,7101
2008,50,7248
2008,51,6301
2008,52,5770
2009,1,4988
2009,2,6661
2009,3,6210
2009,4,6607
2009,5,6768
2009,6,7046
2009,7,7299
2009,8,6871
2009,9,7010
2009,10,7321
2009,11,7806
2009,12,7831
2009,13,7682
2009,14,7451
2009,15,7327
2009,16,7561
2009,17,7827
2009,18,7840
2009,19,7989
2009,20,7987
2009,21,8057
2009,22,7812
2009,23,7885
2009,24,7884
2009,25,7758
2009,26,8343
2009,27,8044
2009,28,8060
2009,29,7995
2009,30,8186
2009,31,8248
2009,32,8025
2009,33,8451
2009,34,8121
2009,35,7738
2009,36,7866
2009,37,7905
2009,38,7922
2009,39,8010
2009,40,7340
2009,41,7457
2009,42,7450
2009,43,7813
2009,44,7841
2009,45,7556
2009,46,7785
2009,47,7262
2009,48,6595
2009,49,7021
2009,50,6412
2009,51,6832
2009,52,5553
2009,53,3382
2010,1,6050
2010,2,7076
2010,3,6845
2010,4,6260
2010,5,6398
2010,6,5844
2010,7,6393
2010,8,6307
2010,9,6994
2010,10,7478
2010,11,7352
2010,12,7424
2010,13,7342
2010,14,7236
2010,15,7548
2010,16,7292
2010,17,7512
2010,18,7640
2010,19,7527
2010,20,7535
2010,21,7709
2010,22,7451
2010,23,7537
2010,24,7530
2010,25,7591
2010,26,7768
2010,27,7619
2010,28,7649
2010,29,7533
2010,30,7550
2010,31,7599
2010,32,7645
2010,33,7734
2010,34,7758
2010,35,7531
2010,36,7421
2010,37,7377
2010,38,7648
2010,39,7155
2010,40,7599
2010,41,7339
2010,42,7201
2010,43,7222
2010,44,6984
2010,45,7228
2010,46,6798
2010,47,6065
2010,48,6281
2010,49,5759
2010,50,5772
2010,51,5252
2010,52,3981
2010,53,2980
2011,1,6036
2011,2,6261
2011,3,5848
2011,4,6003
2011,5,4362
2011,6,5520
2011,7,6423
2011,8,5851
2011,9,6123
2011,10,6451
2011,11,6815
2011,12,6458
2011,13,6845
2011,14,7111
2011,15,6896
2011,16,6179
2011,17,6925
2011,18,7039
2011,19,7310
2011,20,7119
2011,21,6878
2011,22,7734
2011,23,7384
2011,24,7572
2011,25,7497
2011,26,7464
2011,27,7516
2011,28,7699
2011,29,7317
2011,30,7475
2011,31,7707
2011,32,7129
2011,33,7350
2011,34,7240
2011,35,7391
2011,36,6934
2011,37,6989
2011,38,6935
2011,39,6833
2011,40,6918
2011,41,6691
2011,42,6663
